url,job_title,company,salary_min,salary_max,remote,workplace_type,location,seniority_level,commitment,apply_source
https://humana.wd5.myworkdayjobs.com/humana_external_career_site/job/Louisville-KY/Director--Portfolio-Marketing-Strategy_R-388713-1,"Director, Portfolio Marketing Strategy",Humana,168000.0,231000.0,yes,Remote,United States,Senior Level,Full Time,workday
https://humana.wd5.myworkdayjobs.com/humana_external_career_site/job/Remote-Nationwide/Director--Marketing-Data-Management_R-388741-1,"Director, Marketing Data Management",Humana,168000.0,231000.0,yes,Remote,United States,Senior Level,Full Time,workday
https://recruiting.ultipro.com/cre1007crehr/JobBoard/453ac982-2a83-4723-a69a-3dd3ff799d14/OpportunityDetail?opportunityId=027b1a87-4b51-46f1-918f-b94126197592,Area Director of Marketing - NYC,Crescent Hotels & Resorts,120000.0,125000.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,ultipro
https://apply.workable.com/j/96DC0D1BCE,Digital Marketing Director,HSI,110000.0,125000.0,yes,Remote,United States,Senior Level,Full Time,workable
https://tas-hyatt.taleo.net/careersection/mobile+-+hyatt.com+-+all+external+positions+posted/jobdetail.ftl?job=NEW014494&lang=en,Director of Marketing,Park Hyatt New York,97000.0,151400.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,taleo_careersection
https://hyatt.taleo.net/careersection/mobile+-+hyatt.com+-+all+external+positions+posted/jobdetail.ftl?job=NEW014494&lang=en,Director of Marketing,Park Hyatt New York,97000.0,151400.0,no,Onsite,"New York City, New York, United States",Senior Level,Full Time,taleo_careersection
https://job-boards.greenhouse.io/manscaped/jobs/4904847008,Creator Marketing Director,MANSCAPED,140000.0,150000.0,yes,Remote,United States,Senior Level,Full Time,grnhse
https://www.bseglobal.net/job/?gh_jid=7247070003&gh_jid=7247070003,"Director, Marketing - Brooklyn Basketball",BSE Global,120000.0,150000.0,no,Onsite,"Brooklyn, New York, United States",Senior Level,Full Time,grnhse
https://recruiting.paylocity.com/Recruiting/Jobs/Details/3553880,Marketing & Development Director,North Country Family Health Center Inc,,,no,Onsite,"Watertown, New York, United States",Mid Level,Full Time,paylocity
https://job-boards.greenhouse.io/mineralystherapeutics/jobs/4906562008,"Director, Consumer & Patient Marketing",Mineralys Therapeutics,175000.0,195000.0,yes,Remote,United States,Senior Level,Full Time,grnhse
https://job-boards.greenhouse.io/mineralystherapeutics/jobs/4906653008,"Director/ Sr. Director, HCP Marketing ",Mineralys Therapeutics,175000.0,250000.0,yes,Remote,United States,Senior Level,Full Time,grnhse
https://boards.greenhouse.io/byheart/jobs/7025317003?gh_jid=7025317003,"Director, Medical Marketing ",ByHeart,160000.0,180000.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,grnhse
https://astanza-laser.breezy.hr/p/3d3d2ea60fc6-director-of-marketing,Director of Marketing,Astanza Laser,130000.0,160000.0,yes,Remote,United States,Senior Level,Full Time,breezy
http://civicsciencecareers.applytojob.com/apply/E4oKqxQXGA/Marketing-ManagerDirector,Marketing Manager/Director,CivicScience,,,yes,Remote,United States or Pennsylvania,Senior Level,Full Time,jazzhr
https://riministreet.wd1.myworkdayjobs.com/riministreet/job/Remote-United-States/Partner-Marketing-Director_R-101753,Partner Marketing Director,"Rimini Street, Inc.",132000.0,180000.0,yes,Remote,United States,Senior Level,Full Time,workday
